x,value
0,182
1,0
2,546
3,1036
4,1470
5,1848
6,2170
7,2436
8,2646
9,2800
10,2898
11,2940
12,2926
13,2856
14,2730
15,2548
16,520
17,548
18,764
19,956
20,1122
21,1262
22,1376
23,1464
24,1526
25,1568
26,1586
27,1578
28,1544
29,1616
30,1840
31,2210
32,828
33,466
34,750
35,716
36,786
37,1084
38,1340
39,1554
40,1732
41,1870
42,1966
43,2020
44,2032
45,1760
46,2314
47,2104
48,1104
49,534
50,1024
51,1006
52,1180
53,1276
54,1354
55,1414
56,1456
57,1486
58,1500
59,1552
60,1672
61,1612
62,2370
63,2148
64,1348
65,946
66,1180
67,1028
68,1210
69,1240
70,1302
71,1428
72,1534
73,1616
74,1672
75,1604
76,1842
77,1566
78,2374
79,2160
80,1560
81,1306
82,1310
83,1110
84,1332
85,1362
86,1424
87,1456
88,1478
89,1508
90,1556
91,1536
92,1812
93,1584
94,2326
95,2140
96,1740
97,1614
98,1414
99,1322
100,1400
101,1408
102,1462
103,1492
104,1520
105,1528
106,1578
107,1502
108,1744
109,1576
110,2226
111,2088
112,1888
113,1870
114,1492
115,1496
116,1450
117,1458
118,1496
119,1510
120,1522
121,1510
122,1528
123,1482
124,1638
125,1544
126,2074
127,2004
128,2004
129,2074
130,1544
131,1638
132,1482
133,1528
134,1510
135,1522
136,1510
137,1496
138,1458
139,1450
140,1496
141,1492
142,1870
143,1888
144,2088
145,2226
146,1576
147,1744
148,1502
149,1578
150,1528
151,1520
152,1492
153,1462
154,1408
155,1400
156,1322
157,1414
158,1614
159,1740
160,2140
161,2326
162,1584
163,1812
164,1536
165,1556
166,1508
167,1478
168,1456
169,1424
170,1362
171,1332
172,1110
173,1310
174,1306
175,1560
176,2160
177,2374
178,1566
179,1842
180,1604
181,1672
182,1616
183,1534
184,1428
185,1302
186,1240
187,1210
188,1028
189,1180
190,946
191,1348
192,2148
193,2370
194,1612
195,1672
196,1552
197,1500
198,1486
199,1456
200,1414
201,1354
202,1276
203,1180
204,1006
205,1024
206,534
207,1104
208,2104
209,2314
210,1760
211,2032
212,2020
213,1966
214,1870
215,1732
216,1554
217,1340
218,1084
219,786
220,716
221,750
222,466
223,828
224,2210
225,1840
226,1616
227,1544
228,1578
229,1586
230,1568
231,1526
232,1464
233,1376
234,1262
235,1122
236,956
237,764
238,548
239,520
240,2548
241,2730
242,2856
243,2926
244,2940
245,2898
246,2800
247,2646
248,2436
249,2170
250,1848
251,1470
252,1036
253,546
254,0
255,182
