x,y,value
0,0,0
0,1,1
0,2,2
0,3,3
0,4,1
0,5,2
0,6,5
0,7,4
0,8,2
0,9,3
0,10,4
0,11,5
0,12,3
0,13,4
0,14,5
0,15,6
1,0,1
1,1,0
1,2,1
1,3,2
1,4,2
1,5,1
1,6,4
1,7,3
1,8,3
1,9,2
1,10,3
1,11,4
1,12,4
1,13,5
1,14,6
1,15,7
2,0,12
2,1,13
2,2,0
2,3,1
2,4,5
2,5,4
2,6,1
2,7,2
2,8,6
2,9,3
2,10,2
2,11,3
2,12,7
2,13,8
2,14,9
2,15,10
3,0,11
3,1,12
3,2,1
3,3,0
3,4,6
3,5,5
3,6,2
3,7,1
3,8,7
3,9,4
3,10,3
3,11,2
3,12,8
3,13,7
3,14,10
3,15,11
4,0,1
4,1,2
4,2,3
4,3,4
4,4,0
4,5,3
4,6,6
4,7,5
4,8,1
4,9,4
4,10,5
4,11,6
4,12,2
4,13,3
4,14,4
4,15,5
5,0,2
5,1,1
5,2,8
5,3,9
5,4,1
5,5,0
5,6,3
5,7,4
5,8,2
5,9,1
5,10,2
5,11,5
5,12,3
5,13,2
5,14,5
5,15,6
6,0,5
6,1,4
6,2,9
6,3,10
6,4,4
6,5,1
6,6,0
6,7,1
6,8,5
6,9,2
6,10,1
6,11,2
6,12,4
6,13,3
6,14,4
6,15,3
7,0,6
7,1,5
7,2,2
7,3,1
7,4,7
7,5,4
7,6,1
7,7,0
7,8,6
7,9,3
7,10,2
7,11,1
7,12,5
7,13,4
7,14,3
7,15,2
8,0,2
8,1,3
8,2,4
8,3,5
8,4,1
8,5,4
8,6,7
8,7,6
8,8,0
8,9,5
8,10,6
8,11,5
8,12,1
8,13,2
8,14,3
8,15,4
9,0,3
9,1,2
9,2,7
9,3,8
9,4,2
9,5,1
9,6,2
9,7,3
9,8,3
9,9,0
9,10,1
9,11,4
9,12,2
9,13,1
9,14,6
9,15,5
10,0,4
10,1,3
10,2,10
10,3,11
10,4,3
10,5,2
10,6,1
10,7,2
10,8,4
10,9,1
10,10,0
10,11,3
10,12,5
10,13,4
10,14,5
10,15,4
11,0,7
11,1,6
11,2,3
11,3,2
11,4,6
11,5,3
11,6,2
11,7,1
11,8,5
11,9,4
11,10,1
11,11,0
11,12,4
11,13,3
11,14,2
11,15,1
12,0,3
12,1,4
12,2,5
12,3,6
12,4,2
12,5,5
12,6,6
12,7,5
12,8,1
12,9,6
12,10,7
12,11,4
12,12,0
12,13,1
12,14,2
12,15,3
13,0,4
13,1,5
13,2,6
13,3,5
13,4,3
13,5,6
13,6,5
13,7,4
13,8,2
13,9,7
13,10,6
13,11,3
13,12,1
13,13,0
13,14,1
13,15,2
14,0,5
14,1,6
14,2,5
14,3,4
14,4,4
14,5,7
14,6,4
14,7,3
14,8,3
14,9,6
14,10,5
14,11,2
14,12,2
14,13,1
14,14,0
14,15,1
15,0,6
15,1,7
15,2,4
15,3,3
15,4,5
15,5,6
15,6,3
15,7,2
15,8,4
15,9,5
15,10,4
15,11,1
15,12,3
15,13,2
15,14,1
15,15,0
