x,y,value
0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,1
0,9,2
0,10,3
0,11,4
0,12,5
0,13,6
0,14,7
0,15,8
0,16,2
0,17,3
0,18,4
0,19,5
0,20,6
0,21,7
0,22,8
0,23,9
0,24,3
0,25,4
0,26,5
0,27,6
0,28,7
0,29,8
0,30,9
0,31,10
0,32,4
0,33,5
0,34,6
0,35,7
0,36,8
0,37,9
0,38,10
0,39,11
0,40,5
0,41,6
0,42,7
0,43,8
0,44,9
0,45,10
0,46,11
0,47,12
0,48,6
0,49,7
0,50,8
0,51,9
0,52,10
0,53,11
0,54,12
0,55,13
0,56,7
0,57,8
0,58,9
0,59,10
0,60,11
0,61,12
0,62,13
0,63,14
1,0,1
1,1,0
1,2,1
1,3,2
1,4,3
1,5,4
1,6,5
1,7,6
1,8,2
1,9,1
1,10,2
1,11,3
1,12,4
1,13,5
1,14,6
1,15,7
1,16,3
1,17,2
1,18,3
1,19,4
1,20,5
1,21,6
1,22,7
1,23,8
1,24,4
1,25,3
1,26,4
1,27,5
1,28,6
1,29,7
1,30,8
1,31,9
1,32,5
1,33,4
1,34,5
1,35,6
1,36,7
1,37,8
1,38,9
1,39,10
1,40,6
1,41,5
1,42,6
1,43,7
1,44,8
1,45,9
1,46,10
1,47,11
1,48,7
1,49,6
1,50,7
1,51,8
1,52,9
1,53,10
1,54,11
1,55,12
1,56,8
1,57,7
1,58,8
1,59,9
1,60,10
1,61,11
1,62,12
1,63,13
2,0,2
2,1,1
2,2,0
2,3,1
2,4,2
2,5,3
2,6,4
2,7,5
2,8,3
2,9,2
2,10,1
2,11,2
2,12,3
2,13,4
2,14,5
2,15,6
2,16,4
2,17,3
2,18,2
2,19,3
2,20,4
2,21,5
2,22,6
2,23,7
2,24,5
2,25,4
2,26,3
2,27,4
2,28,5
2,29,6
2,30,7
2,31,8
2,32,6
2,33,5
2,34,4
2,35,5
2,36,6
2,37,7
2,38,8
2,39,9
2,40,7
2,41,6
2,42,5
2,43,6
2,44,7
2,45,8
2,46,9
2,47,10
2,48,8
2,49,7
2,50,6
2,51,7
2,52,8
2,53,9
2,54,10
2,55,11
2,56,9
2,57,8
